rank,symbol,name,exchange,price_180d_ago,past_date_used,price_today,return_pct_final,mktcap_cr,cap_bucket,sector,avg_daily_volume,avg_daily_value_rs,penny_flag,xsrc_price,xsrc_mismatch_pct,xsrc_ok,isin_norm,yahoo_ticker,industry
245,GOCLCORP,GOCL Corporation Limited,NSE,302.5,2025-12-12,398.85,31.85,1979.69,Small,Basic Materials,187646.0,55165843.0,False,399.35,0.13,True,INE077F01035,GOCLCORP.NS,Specialty Chemicals
246,DHANBANK,Dhanlaxmi Bank Limited,NSE,25.28,2025-12-12,33.08,31.58,1302.11,Small,Financial Services,1256577.0,36365981.0,False,32.99,0.27,True,INE680A01011,DHANBANK.NS,Banks - Regional
247,RISHABH,Rishabh Instruments Limited,NSE,400.65,2025-12-12,525.2,31.38,2025.53,Small,Technology,114930.0,53888706.0,False,525.4,0.04,True,INE0N2P01017,RISHABH.NS,Scientific & Technical Instruments
248,GHCLTEXTIL,GHCL Textiles Limited,NSE,72.27,2025-12-12,96.88,31.33,924.03,Small,Consumer Cyclical,291363.0,24617316.0,False,96.67,0.22,True,INE0PA801013,GHCLTEXTIL.NS,Textile Manufacturing
249,SUPRIYA,Supriya Lifescience Limited,NSE,744.45,2025-12-12,962.9,31.27,7743.65,Mid,Healthcare,302181.0,243891994.0,False,962.15,0.08,True,INE07RO01027,SUPRIYA.NS,Biotechnology
250,AETHER,Aether Industries Limited,NSE,864.8,2025-12-12,1135.0,31.24,15068.43,Mid,Basic Materials,343755.0,349473073.0,False,1135.45,0.04,True,INE0BWX01014,AETHER.NS,Specialty Chemicals
251,535916,Alacrity Securities Ltd,BSE,56.59,2025-12-12,73.11,31.23,316.68,Micro,n/a,53407.0,3190658.0,False,67.87,7.72,False,INE030P01017,535916.BO,
252,511523,Veerhealth Care Ltd,BSE,18.15,2025-12-12,24.25,31.22,48.92,Micro,n/a,80259.0,1627359.0,False,24.46,0.86,True,INE882C01035,511523.BO,
253,AEROENTER,Aeroflex Enterprises Limited,NSE,80.15,2025-12-12,105.05,31.07,1188.07,Small,Basic Materials,344212.0,29925483.0,False,105.06,0.01,True,INE065D01027,AEROENTER.NS,Steel
254,531911,Galaxy Agrico Exports Ltd,BSE,48.99,2025-12-12,64.2,31.05,105.51,Micro,n/a,112689.0,5097218.0,False,66.4,3.31,True,INE803L01016,531911.BO,
255,ANGELONE,Angel One Limited,NSE,259.53,2025-12-12,337.55,30.97,30820.98,Large,Financial Services,9222151.0,2520734105.0,False,337.45,0.03,True,INE732I01021,ANGELONE.NS,Capital Markets
