symbol,name,exchange,yahoo_ticker,close,rsi,adx,macd_hist,vol_spike,dist_52wh_pct,adv_value_cr,atr_pct,prime_score,not_extended,checks
PRUDENT,Prudent Corporate Advisory Services Limited,NSE,PRUDENT.NS,2955.0,55.6,24.1,-6.127,1.23,-6.49,8.03,3.22,6,True,101010111
PRESTIGE,Prestige Estates Projects Limited,NSE,PRESTIGE.NS,1674.3,76.2,28.6,17.853,1.53,-7.7,100.2,3.01,8,True,011111111
PRIVISCL,Privi Speciality Chemicals Limited,NSE,PRIVISCL.NS,3725.3,69.9,28.6,21.519,0.89,-0.79,33.14,2.79,7,False,111011110
PRICOLLTD,Pricol Limited,NSE,PRICOLLTD.NS,617.6,67.6,21.8,6.184,2.34,-11.03,48.05,3.14,9,True,111111111
RACLGEAR,RACL Geartech Limited,NSE,RACLGEAR.NS,1371.0,56.5,24.1,8.288,5.45,-18.97,4.01,4.91,9,True,111111111
RAMCOSYS,Ramco Systems Limited,NSE,RAMCOSYS.NS,768.55,73.3,53.3,19.053,14.22,-11.53,151.05,5.84,8,False,110111111
RAMCOCEM,The Ramco Cements Limited,NSE,RAMCOCEM.NS,935.65,61.5,23.5,8.241,3.31,-22.96,25.07,2.64,7,True,111111001
RAMCOIND,Ramco Industries Limited,NSE,RAMCOIND.NS,334.95,63.0,28.8,3.379,2.65,-15.85,25.65,4.23,9,True,111111111
RANEHOLDIN,Rane Holdings Limited,NSE,RANEHOLDIN.NS,1723.3,68.5,53.0,5.89,1.06,-4.15,7.43,4.44,7,False,110011111
RAYMONDREL,Raymond Realty Limited,NSE,RAYMONDREL.NS,631.1,56.7,34.6,-2.443,0.38,-34.53,84.95,4.52,6,True,100011111
RADICO,Radico Khaitan Limited,NSE,RADICO.NS,3976.8,78.1,44.3,24.458,2.14,-0.24,126.52,2.15,6,False,010111110
RAINBOW,Rainbow Childrens Medicare Limited,NSE,RAINBOW.NS,1416.2,56.6,28.1,-5.091,1.01,-13.95,18.49,2.56,6,True,101010111
MANORAMA,Manorama Industries Limited,NSE,MANORAMA.NS,1576.5,56.1,24.8,0.775,2.55,-10.43,27.81,3.7,9,True,111111111
MANKIND,Mankind Pharma Limited,NSE,MANKIND.NS,2492.7,57.6,28.6,5.297,1.21,-8.24,152.17,2.63,7,True,111010111
MARICO,Marico Limited,NSE,MARICO.NS,855.4,68.5,27.1,3.834,3.73,-0.38,158.42,1.84,8,True,111111110
MARINE,Marine Electricals (India) Limited,NSE,MARINE.NS,287.8,67.1,38.4,2.265,1.09,-3.39,22.83,4.99,7,False,110011111
MANGLMCEM,Mangalam Cement Limited,NSE,MANGLMCEM.NS,900.0,58.5,28.6,5.123,0.27,-7.02,6.45,2.76,8,True,111011111
RAJRATAN,Rajratan Global Wire Limited,NSE,RAJRATAN.NS,451.3,56.7,19.5,-1.114,0.81,-16.43,3.32,3.59,7,True,101011111
MAMATA,Mamata Machinery Limited,NSE,MAMATA.NS,415.4,64.6,24.1,6.173,1.1,-23.22,3.47,3.06,8,True,111011111
MARKSANS,Marksans Pharma Limited,NSE,MARKSANS.NS,266.8,62.7,48.1,-0.479,0.77,-4.3,80.5,4.08,6,False,100011111
MANCREDIT,Mangal Credit and Fincorp Limited,NSE,MANCREDIT.NS,237.07,71.0,49.4,1.017,4.26,-7.22,4.91,5.08,8,False,110111111
